,Feature,Importance,inner,outer
0,PGR,0.10394837833713888,0,0
1,INS,0.01735928569358569,0,0
2,NEDD4L,0.017043143437507235,0,0
3,EIF4E,0.007070850371411086,0,0
4,MTORC1_c,0.005303823577145428,0,0
5,ESR1,0.0050540973339031625,0,0
6,IGF1R,0.004626003348768393,0,0
7,NFKB1,0.004022576414166701,0,0
8,S6K1,0.0036812746875983793,0,0
9,MTORC2_c,0.003357783013654969,0,0
10,EGFR,0.0022825790887486264,0,0
11,RAF1,0.0017563732921749287,0,0
12,NF1,0.0017543420138977917,0,0
13,MYC,0.0014992520362434592,0,0
14,WNT1,0.001488681926865243,0,0
15,BAK1,0.0013883828155583089,0,0
16,KMT2D,0.0012580009863042418,0,0
17,CASP3,0.0011408945714312946,0,0
18,BAD,0.0011218550591433063,0,0
19,HES1,0.001035318234025473,0,0
20,NCID,0.0010199893813748195,0,0
21,CYCS,0.0009352929468948723,0,0
22,GATA3,0.0008618685917890501,0,0
23,BIM,0.0008486258213953324,0,0
24,FZD3,0.0006249253741680283,0,0
25,DVL1,0.000371154433020382,0,0
26,CASP8,0.00035885927789203187,0,0
27,HSP90AA1,0.0003501987050403832,0,0
28,MCL1,0.00028045576649893267,0,0
29,PPARG,0.0002777631752850507,0,0
30,CASP9,0.0002754904197425079,0,0
31,ABL1,0.0002673688865457713,0,0
32,HRAS,0.00026267926508771744,0,0
33,MEK_i,0.00022336713796067276,0,0
34,INSR,0.000221491051104028,0,0
35,AXIN1,0.00020339295315918715,0,0
36,PAX7,0.00019232996035078997,0,0
37,BAX,0.00016221057561882635,0,0
38,PAK1,0.00016099927600699004,0,0
39,STAT3,0.0001512013763872444,0,0
40,CREB1,0.00014293848598956327,0,0
41,MYOG,0.00013262986062922977,0,0
42,CEBPB,0.00012105174052523537,0,0
43,FOXO1,0.00011200653437482,0,0
44,RND1,0.00010953462284712945,0,0
45,P53,9.122329545308006e-05,0,0
46,DLL_i,8.002958628883228e-05,0,0
47,GRB2,7.5220645239793e-05,0,0
48,STK11,6.98444722407876e-05,0,0
49,PAK2,5.608499342735218e-05,0,0
50,FAS,3.4553178119178796e-05,0,0
51,STAT5,3.3243066098309626e-05,0,0
52,IL6R,2.9966097604972042e-05,0,0
53,NOTCH1,-4.0367638374227965e-06,0,0
54,KRT14,-5.673553336138504e-06,0,0
55,LATS1,-3.702535945959706e-05,0,0
56,DC,-3.8304488466534004e-05,0,0
57,SRC,-3.92162418700881e-05,0,0
58,RAS_i,-4.4813686153388765e-05,0,0
59,FASLG,-5.068918726525151e-05,0,0
60,TCF4,-5.295044672648519e-05,0,0
61,YAP1,-5.515270169298425e-05,0,0
62,HER3,-5.547362814217749e-05,0,0
63,TWIST1,-5.604373485024183e-05,0,0
64,IL6,-5.725430131409137e-05,0,0
65,APC,-6.438827916555034e-05,0,0
66,IL8,-8.012010951363724e-05,0,0
67,IRS1,-8.759728365503872e-05,0,0
68,ERK_i,-9.031051310481875e-05,0,0
69,FADD,-0.00010174004822294247,0,0
70,MAPK8,-0.0001029880549322515,0,0
71,FOXO3,-0.00011107350558514639,0,0
72,EGF,-0.00011281162959175806,0,0
73,LCK,-0.00011633945483568997,0,0
74,RELA,-0.00011683036778364908,0,0
75,GRB7,-0.00013412624911335325,0,0
76,MDM2,-0.00014538211390990874,0,0
77,ES,-0.00014616537553757691,0,0
78,TEAD1,-0.00018354355884109275,0,0
79,SGK1,-0.00018753689929029704,0,0
80,IGF1,-0.0001899850449972318,0,0
81,STAT1,-0.00020086129244734074,0,0
82,IL1B,-0.00020228958939771946,0,0
83,MYOD1,-0.00021691523036149185,0,0
84,RHEB,-0.0002253673009410262,0,0
85,SOS1,-0.0002257100491570574,0,0
86,ABL2,-0.00022758642285725106,0,0
87,HER2,-0.0002476100476238585,0,0
88,BCL2,-0.0002741237953831632,0,0
89,CTNNB1,-0.0003016610240946793,0,0
90,CDKN2A,-0.0003147489261964287,0,0
91,PDPK1,-0.0003209586884986848,0,0
92,PRKAA2,-0.0003251738301743856,0,0
93,PRB,-0.0003623084135170318,0,0
94,P21,-0.0003827891949940154,0,0
95,GSK3B,-0.0003961789701626417,0,0
96,BCLXL,-0.00040100960486355586,0,0
97,AKT_i,-0.0004029691867301066,0,0
98,TRADD,-0.00042577625627260307,0,0
99,JAK2,-0.0004615688206247581,0,0
100,NOS3,-0.0005284024483156458,0,0
101,NRG1,-0.0005828562608101162,0,0
102,PG,-0.0006001045478953859,0,0
103,PI3K_c,-0.0007284613885305546,0,0
104,PRKACA,-0.0007311871672185388,0,0
105,NF2,-0.0007685609428933482,0,0
106,BID,-0.0007788939300527042,0,0
107,HEY1,-0.0007948469543589409,0,0
108,E2F1,-0.0008089080939295279,0,0
109,TSC2,-0.0008145236744163675,0,0
110,PIP3,-0.0008756538514108625,0,0
111,RAC1,-0.0008983571310113847,0,0
112,CYCLIN_D_c,-0.0009336919133609012,0,0
113,PTEN,-0.0011187550123900047,0,0
114,PIM,-0.0011646123451396484,0,0
115,JUN,-0.003327694942848791,0,0
116,IVEBP1,-0.004982018261287302,0,0
0,PGR,0.08679817036185744,1,0
1,NFKB1,0.016382527157575266,1,0
2,HES1,0.010579599619518931,1,0
3,INS,0.00992923188715289,1,0
4,PG,0.0033720995568180534,1,0
5,RAC1,0.003243864460358181,1,0
6,DLL_i,0.0027430562400794223,1,0
7,WNT1,0.0021404057305675073,1,0
8,S6K1,0.002129539387791368,1,0
9,MYC,0.001637713418375597,1,0
10,ESR1,0.0016230549958383689,1,0
11,PRB,0.001414481919857713,1,0
12,HRAS,0.0013432952708049006,1,0
13,CASP8,0.0012879930281276541,1,0
14,NOS3,0.0012581013739099145,1,0
15,P21,0.0010424226393308533,1,0
16,EGFR,0.0010065254762637865,1,0
17,BAD,0.000964927214235578,1,0
18,PRKAA2,0.0009305542955575508,1,0
19,BID,0.0009137501871077092,1,0
20,MTORC2_c,0.0009062451593323528,1,0
21,FZD3,0.0008622216286520157,1,0
22,TWIST1,0.0008399070538226416,1,0
23,PDPK1,0.0008144587598335473,1,0
24,STAT1,0.0006573688667486088,1,0
25,BAK1,0.0005078626496405336,1,0
26,PRKACA,0.0004712075173112229,1,0
27,BAX,0.00046630166621486335,1,0
28,HEY1,0.000465782668446324,1,0
29,LCK,0.0004157038791419154,1,0
30,MCL1,0.00041494155990706716,1,0
31,MTORC1_c,0.0003875252911710314,1,0
32,SOS1,0.0003813603466058524,1,0
33,MDM2,0.00029903309499301756,1,0
34,IRS1,0.00026615081621061965,1,0
35,ABL1,0.0002538749943793439,1,0
36,PI3K_c,0.00024183085005957672,1,0
37,RELA,0.00021017543348844647,1,0
38,HSP90AA1,0.000207033752921304,1,0
39,YAP1,0.0001874341416208125,1,0
40,GATA3,0.00017642347312307738,1,0
41,CREB1,0.00017296865960814145,1,0
42,TCF4,0.00013261750174653475,1,0
43,PAK2,0.0001235592317615497,1,0
44,RAS_i,0.00011860840264810157,1,0
45,BIM,0.00011233547859057502,1,0
46,HER2,0.0001104904328683709,1,0
47,JAK2,8.777473532517455e-05,1,0
48,GRB2,7.682130587916003e-05,1,0
49,APC,7.099792880660427e-05,1,0
50,IL8,5.325162776481651e-05,1,0
51,BCLXL,4.9445319255880804e-05,1,0
52,CEBPB,4.01292305566292e-05,1,0
53,CASP3,3.674565969624677e-05,1,0
54,P53,2.5683933914777413e-05,1,0
55,STK11,1.1387171970911325e-05,1,0
56,CTNNB1,5.923055819367917e-06,1,0
57,TEAD1,5.237061143970045e-06,1,0
58,CYCS,-7.3835799707655525e-06,1,0
59,FADD,-1.004722500175248e-05,1,0
60,MEK_i,-1.1727939566830159e-05,1,0
61,BCL2,-2.042761312226471e-05,1,0
62,LATS1,-3.690619457541455e-05,1,0
63,PAK1,-3.9710937028591964e-05,1,0
64,CDKN2A,-4.8461043506642376e-05,1,0
65,IL6,-5.4698540500552895e-05,1,0
66,RND1,-5.486230065265829e-05,1,0
67,STAT5,-5.609281852569925e-05,1,0
68,FAS,-7.186509201850821e-05,1,0
69,NOTCH1,-7.809410261305771e-05,1,0
70,HER3,-8.63065273233321e-05,1,0
71,MYOD1,-0.00010212041476342915,1,0
72,FASLG,-0.00010866396409348056,1,0
73,DC,-0.00011862920034477753,1,0
74,IL6R,-0.0001375976315499683,1,0
75,KRT14,-0.00015393826412957168,1,0
76,MYOG,-0.0001564945841751042,1,0
77,PPARG,-0.00015796362889308746,1,0
78,GRB7,-0.00017543723633861585,1,0
79,PAX7,-0.00019019215793980582,1,0
80,FOXO1,-0.00021590834233620182,1,0
81,TRADD,-0.0002217390034429112,1,0
82,IGF1,-0.0002786691701363031,1,0
83,PTEN,-0.00033099187764906723,1,0
84,DVL1,-0.00036519820391711644,1,0
85,STAT3,-0.000367089672115295,1,0
86,GSK3B,-0.0003813954663965946,1,0
87,NRG1,-0.0004019559149717189,1,0
88,E2F1,-0.00041703554060612547,1,0
89,NF1,-0.00042785760024477426,1,0
90,AKT_i,-0.0004334773046716922,1,0
91,IL1B,-0.0004416766215783463,1,0
92,RAF1,-0.0004434452264407973,1,0
93,SGK1,-0.0004518646279921823,1,0
94,ABL2,-0.0005084086845251745,1,0
95,NEDD4L,-0.0005111024103098272,1,0
96,INSR,-0.0005194860407060631,1,0
97,MAPK8,-0.0005336627717053011,1,0
98,IVEBP1,-0.0005493233047744184,1,0
99,RHEB,-0.000589258693372674,1,0
100,SRC,-0.0005934224208505867,1,0
101,KMT2D,-0.000596037380432235,1,0
102,PIP3,-0.0006097642612366005,1,0
103,CASP9,-0.0006309140712498218,1,0
104,ERK_i,-0.0007075996104347615,1,0
105,AXIN1,-0.0007197417886305457,1,0
106,ES,-0.000778807975352902,1,0
107,EIF4E,-0.0008090734647855369,1,0
108,PIM,-0.0008348842986743987,1,0
109,NF2,-0.0008916733007793276,1,0
110,EGF,-0.0010186777168050831,1,0
111,CYCLIN_D_c,-0.0011539065811526639,1,0
112,FOXO3,-0.0015832390831043153,1,0
113,NCID,-0.001624453565994055,1,0
114,TSC2,-0.0022460887509725413,1,0
115,IGF1R,-0.003598994147211876,1,0
116,JUN,-0.0039084047359494445,1,0
0,PGR,0.08109021463597532,2,0
1,IGF1R,0.0075263705073760345,2,0
2,INS,0.005682754657593936,2,0
3,KMT2D,0.004509279049672021,2,0
4,NFKB1,0.004442407897480072,2,0
5,PTEN,0.003342148192583161,2,0
6,PAK2,0.002855416999478,2,0
7,SOS1,0.0025457764334528843,2,0
8,E2F1,0.0023667072882967988,2,0
9,PRB,0.0022288677891344477,2,0
10,HES1,0.002103842867522965,2,0
11,TWIST1,0.0018729899915885806,2,0
12,MYC,0.00185797726738679,2,0
13,BAX,0.0015233569771975208,2,0
14,MTORC1_c,0.0015161332248250226,2,0
15,MTORC2_c,0.0014165680133009229,2,0
16,NF1,0.001357928654186158,2,0
17,PAK1,0.0013517856800664418,2,0
18,NRG1,0.0013118354236153484,2,0
19,BIM,0.0012679986515492514,2,0
20,CASP9,0.0010960880407406837,2,0
21,AXIN1,0.0009317996442209653,2,0
22,ESR1,0.0007583068559053885,2,0
23,EGF,0.0007017396547510657,2,0
24,RND1,0.0006777769552507307,2,0
25,RAF1,0.0006630244062899582,2,0
26,STK11,0.0005901162850395769,2,0
27,JUN,0.0005289775194153856,2,0
28,RHEB,0.0005079609016893638,2,0
29,FAS,0.0004565314600710746,2,0
30,EGFR,0.00042702435590857846,2,0
31,TRADD,0.000417471142970971,2,0
32,FZD3,0.0003382301237900842,2,0
33,PPARG,0.00033635228263662054,2,0
34,NCID,0.00033496633320806435,2,0
35,MEK_i,0.0003237897994189387,2,0
36,PAX7,0.0002602038848218413,2,0
37,TCF4,0.00024705429968308046,2,0
38,HER2,0.00021068163526671846,2,0
39,IL8,0.00020972389566975558,2,0
40,KRT14,0.00019938069905500733,2,0
41,GRB7,0.0001894372784888576,2,0
42,PI3K_c,0.00010876666446757444,2,0
43,PRKAA2,9.099644333743218e-05,2,0
44,HSP90AA1,8.777247639712993e-05,2,0
45,ABL1,7.473027402860044e-05,2,0
46,RAC1,7.224487330770302e-05,2,0
47,ES,6.662407996416153e-05,2,0
48,P21,5.419941139561679e-05,2,0
49,NEDD4L,4.004211506025701e-05,2,0
50,BAD,3.6872888950600924e-05,2,0
51,DC,3.2366423391994026e-05,2,0
52,RELA,1.892933430092114e-05,2,0
53,TSC2,1.60957406741824e-05,2,0
54,PG,3.257874874540434e-06,2,0
55,GRB2,-2.1155397988970037e-07,2,0
56,IL6,-8.683805518328036e-06,2,0
57,BAK1,-9.407702269093043e-06,2,0
58,STAT5,-2.7450744527257598e-05,2,0
59,MAPK8,-2.8697556583079376e-05,2,0
60,FASLG,-2.8929810798716815e-05,2,0
61,IL6R,-3.7195222532870886e-05,2,0
62,STAT3,-4.584485000946881e-05,2,0
63,MDM2,-5.7808216930355094e-05,2,0
64,APC,-7.0031075522059e-05,2,0
65,ABL2,-7.520805061445035e-05,2,0
66,MCL1,-8.828558210338677e-05,2,0
67,MYOG,-9.271458516746378e-05,2,0
68,IL1B,-9.327650193990955e-05,2,0
69,P53,-9.357511769869653e-05,2,0
70,YAP1,-0.00010269635833859425,2,0
71,CREB1,-0.00011088262397518367,2,0
72,JAK2,-0.00011216088564625082,2,0
73,STAT1,-0.00013117049187383323,2,0
74,TEAD1,-0.00015286197208175256,2,0
75,CTNNB1,-0.0001582166870077728,2,0
76,NOTCH1,-0.00015891198755757507,2,0
77,CYCS,-0.0001613466449112977,2,0
78,PIM,-0.0001687718976068897,2,0
79,GSK3B,-0.0001705182813089845,2,0
80,WNT1,-0.00017532798235397884,2,0
81,FADD,-0.0001966313015104859,2,0
82,RAS_i,-0.00021393630993638002,2,0
83,MYOD1,-0.00023339235143804427,2,0
84,PDPK1,-0.00023349690881058205,2,0
85,GATA3,-0.00023649200874931164,2,0
86,PRKACA,-0.000250171383137876,2,0
87,BID,-0.00025146702231115814,2,0
88,CEBPB,-0.0002666577064699416,2,0
89,BCL2,-0.00026908862822649926,2,0
90,LCK,-0.00026973939134422587,2,0
91,LATS1,-0.0002720498907923252,2,0
92,CDKN2A,-0.0003338486551232034,2,0
93,BCLXL,-0.00033417474296171257,2,0
94,DVL1,-0.0003445919274969178,2,0
95,NF2,-0.00034724289687848575,2,0
96,DLL_i,-0.00034928378487653067,2,0
97,HRAS,-0.0003594555144095235,2,0
98,SRC,-0.00037096606077446914,2,0
99,HEY1,-0.0004177512573065867,2,0
100,IGF1,-0.00045850837856686866,2,0
101,CASP8,-0.0004697035612671874,2,0
102,INSR,-0.0004751265941851379,2,0
103,AKT_i,-0.0004883558712166503,2,0
104,ERK_i,-0.0005155557799265686,2,0
105,NOS3,-0.0005281988648249136,2,0
106,HER3,-0.0005340660046790902,2,0
107,SGK1,-0.0005423669681148269,2,0
108,FOXO1,-0.0006777625091997086,2,0
109,CASP3,-0.0008510030906555555,2,0
110,CYCLIN_D_c,-0.0010341014922011782,2,0
111,PIP3,-0.0010762460447857336,2,0
112,S6K1,-0.001147607504660031,2,0
113,IRS1,-0.0012199301518179828,2,0
114,IVEBP1,-0.0035686711052114184,2,0
115,FOXO3,-0.0036741861784458374,2,0
116,EIF4E,-0.004619529887705753,2,0
0,PGR,0.09223142585189747,3,0
1,IGF1R,0.014050120627144724,3,0
2,ERK_i,0.008589241825286753,3,0
3,DLL_i,0.0050706735806193,3,0
4,CASP3,0.003137082979452921,3,0
5,CYCLIN_D_c,0.003126308647849352,3,0
6,AKT_i,0.002842880965677641,3,0
7,SOS1,0.002482712345685645,3,0
8,NEDD4L,0.002326133775320205,3,0
9,HES1,0.0022680995594203113,3,0
10,FOXO3,0.001978831664821268,3,0
11,S6K1,0.001743134336484209,3,0
12,RAC1,0.0015670079096870015,3,0
13,IRS1,0.0014581812948394335,3,0
14,MCL1,0.0014456921385841426,3,0
15,MAPK8,0.001302022937924252,3,0
16,CASP9,0.0010133868554275116,3,0
17,NCID,0.0010118420803212347,3,0
18,PRB,0.0009315856013668578,3,0
19,ES,0.0008909216572428047,3,0
20,MTORC2_c,0.0008811734824505368,3,0
21,PAK2,0.0007718106665824953,3,0
22,WNT1,0.0007683973569599933,3,0
23,ESR1,0.0007195403355050312,3,0
24,MYC,0.0007194590234964604,3,0
25,E2F1,0.0006504300979517375,3,0
26,KRT14,0.0006029120268860044,3,0
27,NF2,0.0005071589974456892,3,0
28,BCL2,0.0004852925715309597,3,0
29,NOTCH1,0.0004550851573067449,3,0
30,RAF1,0.0003675360230246394,3,0
31,CYCS,0.00030598890175692617,3,0
32,GRB2,0.00023971479360129777,3,0
33,FAS,0.000214341735731427,3,0
34,P21,0.00019677772856696585,3,0
35,TRADD,0.00014322982249814764,3,0
36,GRB7,0.0001390399473718551,3,0
37,IL6R,5.1777486395176986e-05,3,0
38,BAK1,4.969458505887925e-05,3,0
39,PRKACA,2.6465468891512245e-05,3,0
40,PAK1,2.005696235518606e-05,3,0
41,EGF,1.6572315066687437e-05,3,0
42,STK11,1.2921751836314499e-05,3,0
43,FZD3,-1.6061497212227493e-06,3,0
44,STAT1,-5.562664438185649e-06,3,0
45,STAT3,-2.078714329878384e-05,3,0
46,NRG1,-2.919578312643445e-05,3,0
47,ABL1,-2.9260240239303847e-05,3,0
48,CDKN2A,-3.500428221481222e-05,3,0
49,IL6,-3.970870704039786e-05,3,0
50,GSK3B,-5.2410846069883554e-05,3,0
51,CEBPB,-5.905642941450573e-05,3,0
52,P53,-6.385089201577099e-05,3,0
53,FASLG,-6.859254902036316e-05,3,0
54,HER3,-7.063401767881672e-05,3,0
55,TCF4,-7.20701448941874e-05,3,0
56,MDM2,-7.758330735541108e-05,3,0
57,MYOG,-7.918011680407844e-05,3,0
58,HEY1,-9.010847486223827e-05,3,0
59,TEAD1,-9.111814306461685e-05,3,0
60,IL1B,-9.248906583847472e-05,3,0
61,IL8,-0.00010004282559983313,3,0
62,RAS_i,-0.00010342135867935642,3,0
63,ABL2,-0.00010451180174841923,3,0
64,IVEBP1,-0.00010886022493628023,3,0
65,BAX,-0.00011616159120342306,3,0
