,index,round,folder_inner,training,validating,testing,index,max_depth,max_samples,ccp_alpha,min_samples_leaf,min_samples_split,n_estimators
0,0,0,0,0.6336409445242089,0.32670459947565356,0.41494803133393343,1,4.0,0.7,0.5,16.0,32.0,2000.0
1,1,0,1,0.6301826031912102,0.4212487022423932,0.41494803133393343,1,4.0,0.7,0.5,16.0,32.0,2000.0
2,2,0,2,0.6246657110866207,0.3269536299250695,0.41494803133393343,1,4.0,0.7,0.5,16.0,32.0,2000.0
3,3,0,3,0.6176597006726795,0.48641293625675713,0.41494803133393343,1,4.0,0.7,0.5,16.0,32.0,2000.0
4,4,0,4,0.6270642256867949,0.38230639234525293,0.41494803133393343,1,4.0,0.7,0.5,16.0,32.0,2000.0
0,0,1,0,0.6191941867095447,0.3818438222199535,0.4695850368358607,1,5.0,0.7,0.5,16.0,24.0,2000.0
1,1,1,1,0.6008462293747839,0.4806013146957361,0.4695850368358607,1,5.0,0.7,0.5,16.0,24.0,2000.0
2,2,1,2,0.6330573610686847,0.3931010733637001,0.4695850368358607,1,5.0,0.7,0.5,16.0,24.0,2000.0
3,3,1,3,0.635969568716231,0.28753857034587954,0.4695850368358607,1,5.0,0.7,0.5,16.0,24.0,2000.0
4,4,1,4,0.6255617993728495,0.34919411114370374,0.4695850368358607,1,5.0,0.7,0.5,16.0,24.0,2000.0
0,0,2,0,0.6464038427581544,0.4966974659638006,0.3292931424736593,1,5.0,0.7,0.5,16.0,16.0,2000.0
1,1,2,1,0.6359325092621607,0.5434915646897712,0.3292931424736593,1,5.0,0.7,0.5,16.0,16.0,2000.0
2,2,2,2,0.6689339402644278,0.3797044063035424,0.3292931424736593,1,5.0,0.7,0.5,16.0,16.0,2000.0
3,3,2,3,0.6643200271396179,0.3067058288045019,0.3292931424736593,1,5.0,0.7,0.5,16.0,16.0,2000.0
4,4,2,4,0.6715273723728707,0.41571803941181235,0.3292931424736593,1,5.0,0.7,0.5,16.0,16.0,2000.0
0,0,3,0,0.6163672672571868,0.36402122388130476,0.46226559519425137,1,4.0,0.7,0.7,16.0,24.0,2000.0
1,1,3,1,0.5867895631846605,0.5352078385760591,0.46226559519425137,1,4.0,0.7,0.7,16.0,24.0,2000.0
2,2,3,2,0.617340597028947,0.31435186840682067,0.46226559519425137,1,4.0,0.7,0.7,16.0,24.0,2000.0
3,3,3,3,0.6120968193265629,0.36763538752266167,0.46226559519425137,1,4.0,0.7,0.7,16.0,24.0,2000.0
4,4,3,4,0.6144332511761568,0.24192346549076052,0.46226559519425137,1,4.0,0.7,0.7,16.0,24.0,2000.0
0,0,4,0,0.5625981851635391,0.44931586361059483,0.3409398349462934,1,3.0,0.7,0.5,16.0,32.0,2000.0
1,1,4,1,0.5883683373455604,0.37770805738864044,0.3409398349462934,1,3.0,0.7,0.5,16.0,32.0,2000.0
2,2,4,2,0.588560938148281,0.34283040580788277,0.3409398349462934,1,3.0,0.7,0.5,16.0,32.0,2000.0
3,3,4,3,0.577612765469177,0.39386290125873746,0.3409398349462934,1,3.0,0.7,0.5,16.0,32.0,2000.0
4,4,4,4,0.5926329307189147,0.41369039234788085,0.3409398349462934,1,3.0,0.7,0.5,16.0,32.0,2000.0
